City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,Crime_Index
West Cape May,1015.0,1.0,0.0,0.0,0.0,1.0,13.0,3.0,10.0,0.0,0.0,275.8620689655172
West Deptford Township,20889.0,19.0,0.0,2.0,4.0,13.0,290.0,73.0,203.0,14.0,0.0,295.8494901622864
Westfield,30011.0,4.0,0.0,0.0,2.0,2.0,217.0,24.0,167.0,26.0,0.0,147.27933091199893
West Long Branch,7957.0,3.0,0.0,0.0,2.0,1.0,101.0,9.0,86.0,6.0,0.0,261.40505215533494
West Milford Township,26560.0,10.0,0.0,2.0,0.0,8.0,158.0,23.0,127.0,8.0,2.0,127.25903614457832
West New York,54095.0,138.0,1.0,7.0,61.0,69.0,567.0,92.0,449.0,26.0,1.0,260.8374156576393
West Orange,48071.0,91.0,1.0,13.0,24.0,53.0,615.0,81.0,462.0,72.0,0.0,293.73218780553765
Westville,4121.0,5.0,0.0,0.0,2.0,3.0,118.0,22.0,84.0,12.0,0.0,596.9424896869692
West Wildwood,561.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,4.0,1.0,0.0,213.903743315508
West Windsor Township,28277.0,11.0,0.0,2.0,3.0,6.0,298.0,48.0,243.0,7.0,1.0,218.9058245216961
Westwood,11219.0,11.0,0.0,1.0,0.0,10.0,57.0,20.0,36.0,1.0,0.0,121.22292539442019
Wharton,6482.0,2.0,0.0,0.0,0.0,2.0,69.0,10.0,57.0,2.0,0.0,219.06818883060782
Wildwood,5035.0,40.0,0.0,1.0,10.0,29.0,314.0,39.0,269.0,6.0,0.0,1406.1569016881829
Wildwood Crest,3116.0,7.0,0.0,0.0,0.0,7.0,61.0,19.0,42.0,0.0,0.0,436.45699614890884
Willingboro Township,32124.0,112.0,0.0,9.0,23.0,80.0,476.0,152.0,297.0,27.0,4.0,367.32660938861915
Winfield Township,1514.0,1.0,0.0,0.0,1.0,0.0,8.0,5.0,3.0,0.0,0.0,118.89035667107001
Winslow Township,38382.0,64.0,3.0,20.0,8.0,33.0,512.0,143.0,357.0,12.0,6.0,301.70392371424106
Woodbridge Township,100884.0,113.0,0.0,6.0,32.0,75.0,1554.0,142.0,1325.0,87.0,6.0,331.0733119226042
Woodbury,9746.0,53.0,1.0,0.0,28.0,24.0,423.0,65.0,328.0,30.0,0.0,976.8109993843628
Woodbury Heights,2944.0,0.0,0.0,0.0,0.0,0.0,52.0,4.0,43.0,5.0,0.0,353.2608695652174
Woodcliff Lake,5844.0,0.0,0.0,0.0,0.0,0.0,20.0,3.0,13.0,4.0,0.0,68.44626967830253
Woodland Park,12799.0,10.0,0.0,2.0,2.0,6.0,149.0,16.0,127.0,6.0,0.0,248.45691069614813
Woodlynne,2902.0,11.0,0.0,0.0,4.0,7.0,43.0,5.0,31.0,7.0,0.0,372.15713301171604
Wood-Ridge,9105.0,7.0,0.0,0.0,1.0,6.0,83.0,5.0,77.0,1.0,0.0,197.69357495881383
Woodstown,3447.0,2.0,0.0,0.0,0.0,2.0,46.0,30.0,14.0,2.0,0.0,278.503046127067
Woolwich Township,12636.0,0.0,0.0,0.0,0.0,0.0,50.0,3.0,43.0,4.0,0.0,79.13896802785692
Wyckoff Township,17161.0,6.0,0.0,1.0,1.0,4.0,84.0,9.0,70.0,5.0,1.0,105.47170910786085
1 The figures shown in this column for the offense of rape were reported using only the revised Uniform Crime Reporting definition of rape. See the data declaration for further explanation. ,,,,,,,,,,,,
